Google.Date,Open,High,Low,Close,Volume
Google,26-Sep-14,576.06,579.25,574.66,577.10,1439807
Google,25-Sep-14,587.55,587.98,574.18,575.06,1925350
Google,24-Sep-14,581.46,589.63,580.52,587.99,1724537
Google,23-Sep-14,586.85,586.85,581.00,581.13,1467703
Google,22-Sep-14,593.82,593.95,583.46,587.37,1687710
Google,19-Sep-14,591.50,596.48,589.50,596.08,3727045
Google,18-Sep-14,587.00,589.54,585.00,589.27,1442012
Google,17-Sep-14,580.01,587.52,578.78,584.77,1690994
Google,16-Sep-14,572.76,581.50,572.66,579.95,1478306
Google,15-Sep-14,572.94,574.95,568.21,573.10,1596224
Google,12-Sep-14,581.00,581.64,574.46,575.62,1597677
Google,11-Sep-14,580.36,581.81,576.26,581.35,1217721
Google,10-Sep-14,581.50,583.50,576.94,583.10,975145
Google,9-Sep-14,588.90,589.00,580.00,581.01,1286722
Google,8-Sep-14,586.60,591.77,586.30,589.72,1429101
Google,5-Sep-14,583.98,586.55,581.95,586.08,1629477
Google,4-Sep-14,580.00,586.00,579.22,581.98,1459956
Google,3-Sep-14,580.00,582.99,575.00,577.94,1214586
Google,2-Sep-14,571.85,577.83,571.19,577.33,1576830
Google,29-Aug-14,571.33,572.04,567.07,571.60,1081231
Google,28-Aug-14,569.56,573.25,567.10,569.20,1295963
Google,27-Aug-14,577.27,578.49,570.10,571.00,1700161
Google,26-Aug-14,581.26,581.80,576.58,577.86,1635465
Google,25-Aug-14,584.72,585.00,579.00,580.20,1358810
Google,22-Aug-14,583.59,585.24,580.64,582.56,789484
Google,21-Aug-14,583.82,584.50,581.14,583.37,912854
Google,20-Aug-14,585.88,586.70,582.57,584.49,1034779
Google,19-Aug-14,585.00,587.34,584.00,586.86,979298
Google,18-Aug-14,576.11,584.51,576.00,582.16,1282531
Google,15-Aug-14,577.86,579.38,570.52,573.48,1517056
Google,14-Aug-14,576.18,577.90,570.88,574.65,982926
Google,13-Aug-14,567.31,575.00,565.75,574.78,1437922
Google,12-Aug-14,564.52,565.90,560.88,562.73,1537758
Google,11-Aug-14,569.99,570.49,566.00,567.88,1215968
