Date,Value
09-Nov-12,229.24
08-Nov-12,233.935
07-Nov-12,235.53
06-Nov-12,233.725
05-Nov-12,233.02499999999998
02-Nov-12,234.12
01-Nov-12,235.27499999999998
31-Oct-12,232.45999999999998
26-Oct-12,229.76
25-Oct-12,233.39999999999998
24-Oct-12,233.465
23-Oct-12,234.93
22-Oct-12,241.985
19-Oct-12,246.465
18-Oct-12,245.57
17-Oct-12,244.12
16-Oct-12,243.86
15-Oct-12,243.015
12-Oct-12,245.59
11-Oct-12,250.0
10-Oct-12,255.335
09-Oct-12,258.17
08-Oct-12,259.435
05-Oct-12,258.605
04-Oct-12,253.61
03-Oct-12,252.005
02-Oct-12,254.10000000000002
01-Oct-12,255.76999999999998
28-Sep-12,253.33999999999997
27-Sep-12,251.47
26-Sep-12,254.365
25-Sep-12,255.77499999999998
24-Sep-12,258.48
21-Sep-12,260.885
20-Sep-12,259.74
19-Sep-12,258.96500000000003
18-Sep-12,259.865
17-Sep-12,261.325
14-Sep-12,258.16999999999996
13-Sep-12,255.72
12-Sep-12,257.05
11-Sep-12,258.3
10-Sep-12,256.425
07-Sep-12,251.04
06-Sep-12,247.92000000000002
05-Sep-12,247.94
04-Sep-12,248.17000000000002
31-Aug-12,247.53
30-Aug-12,246.885
29-Aug-12,245.375
28-Aug-12,244.88
27-Aug-12,243.735
24-Aug-12,241.91
23-Aug-12,240.76999999999998
22-Aug-12,240.14
21-Aug-12,241.125
20-Aug-12,240.985
17-Aug-12,239.16
16-Aug-12,234.99
15-Aug-12,233.485
14-Aug-12,233.47
13-Aug-12,232.655
10-Aug-12,233.505
09-Aug-12,234.61
08-Aug-12,234.70999999999998
07-Aug-12,234.845
06-Aug-12,234.79500000000002
03-Aug-12,232.29500000000002
02-Aug-12,232.35
01-Aug-12,234.62
31-Jul-12,236.05
30-Jul-12,231.125
27-Jul-12,222.625
26-Jul-12,221.0
25-Jul-12,224.135
24-Jul-12,225.495
23-Jul-12,225.04000000000002
20-Jul-12,223.04500000000002
19-Jul-12,218.44
18-Jul-12,216.8
17-Jul-12,217.02499999999998
16-Jul-12,216.115
13-Jul-12,216.12
12-Jul-12,217.78
11-Jul-12,222.6
10-Jul-12,225.625
09-Jul-12,225.675
06-Jul-12,227.485
05-Jul-12,228.88
03-Jul-12,229.22
02-Jul-12,227.0
29-Jun-12,224.31
28-Jun-12,224.46499999999997
27-Jun-12,223.23
26-Jun-12,220.875
25-Jun-12,221.065
22-Jun-12,222.835
21-Jun-12,224.175
20-Jun-12,223.885
19-Jun-12,220.26999999999998
18-Jun-12,216.285
15-Jun-12,215.27499999999998
14-Jun-12,215.39
13-Jun-12,216.585
12-Jun-12,217.57
11-Jun-12,218.05
08-Jun-12,219.13
07-Jun-12,217.14
06-Jun-12,214.24
05-Jun-12,210.625
04-Jun-12,207.92000000000002
01-Jun-12,208.95999999999998
31-May-12,210.81
30-May-12,213.22
29-May-12,214.645
25-May-12,215.985
24-May-12,215.845
23-May-12,216.51
22-May-12,216.17000000000002
21-May-12,216.72
18-May-12,222.23000000000002
17-May-12,225.025
16-May-12,225.75
15-May-12,226.05
14-May-12,225.77499999999998
11-May-12,224.93
10-May-12,222.25
09-May-12,221.87
08-May-12,222.755
07-May-12,225.08
04-May-12,228.77
03-May-12,228.78
02-May-12,228.61
01-May-12,226.675
30-Apr-12,224.39
27-Apr-12,209.2
26-Apr-12,192.62
25-Apr-12,190.175
24-Apr-12,188.835
23-Apr-12,190.66500000000002
20-Apr-12,192.635
19-Apr-12,190.875
18-Apr-12,188.015
17-Apr-12,188.11
16-Apr-12,189.45499999999998
13-Apr-12,188.98000000000002
12-Apr-12,188.845
11-Apr-12,191.19
10-Apr-12,192.385
09-Apr-12,192.78500000000003
05-Apr-12,195.25
04-Apr-12,197.595
03-Apr-12,198.13
02-Apr-12,201.52
30-Mar-12,203.15
29-Mar-12,203.70999999999998
28-Mar-12,204.865
27-Mar-12,200.035
26-Mar-12,194.245
23-Mar-12,191.27499999999998
22-Mar-12,191.51999999999998
21-Mar-12,188.69
20-Mar-12,184.165
19-Mar-12,183.365
16-Mar-12,182.65
15-Mar-12,182.835
14-Mar-12,183.785
13-Mar-12,184.02499999999998
12-Mar-12,185.45999999999998
09-Mar-12,185.48
08-Mar-12,183.41
07-Mar-12,180.66500000000002
06-Mar-12,178.84
05-Mar-12,179.24
02-Mar-12,179.685
01-Mar-12,181.89
29-Feb-12,181.39499999999998
28-Feb-12,178.22
27-Feb-12,178.62
24-Feb-12,179.67
23-Feb-12,180.795
22-Feb-12,182.3
21-Feb-12,181.37
17-Feb-12,178.94
16-Feb-12,184.54
15-Feb-12,191.185
14-Feb-12,189.125
13-Feb-12,185.295
10-Feb-12,183.95999999999998
09-Feb-12,184.725
08-Feb-12,183.8
07-Feb-12,184.465
06-Feb-12,184.555
03-Feb-12,181.24
02-Feb-12,176.73000000000002
01-Feb-12,0.0
